Dazio	WSH1	5.1	930	1088	1124
Dazio	WSH2	5.69	960	1060	1201
Dazio	WSH3	5.83	1140	1376	1530
Dazio	WSH5	12.83	1210	1316	1458
Dazio	WSH6	10.79	1530	1651	1956
Liu	W1	7.64	615	712	714
Liu	W2	3.58	650	769	756
Lowes W4	11.7	3660	2642	2436
Wallace	RW1	10.23	330	400	396
Wallace	RW2	8.99	330	387	443
Oh	WR20	8.39	790	819	857
Oh	WR10	7.92	795	741	814
Shegay	C10	9.17	2561	2818	3409
Shegay	A10	9.17	2561	2757	3378
Shegay	A14	14.08	3231	3331	3997
Shegay	A20	20.59	3818	3185	4538
Tran 	S38	7.32	680	651	864
Tran 	S63	7.29	1135	1094	1331
Zhang	SW7	21.44	191	198	223
Zhang	SW8	31.26	211	162	249
Zhang	SW9	21.44	283	244	337
Segura	WP6	7.46	3128	3438	4194
Segura	WP7	7.1	2977	3631	4502
Lu	C1	3.59	259	363	352
Lu	C2	4	255	338	368
Lu	C3	3.81	257	332	350
Lu	C4	0	103	251	194
Lu	C5	7.47	368	411	481
Lu	C6	3.7	248	343	354
Hube	W5	14.96	155	127	244
Hube	W7	14.96	127	142	181
Hube	W8	14.96	129	136	202
Hube	W9	14.96	122	121	184
